rank,name,record_type,ecosystem_segment,priority_tier,relationship_stage,strategic_fit,current_hook,likely_ask,best_first_channel,warm_path_needed,first_move,risk_note,website,contact_url,public_email,linkedin_url,x_url,bluesky_url,mastodon_url,instagram_url,threads_url,tiktok_url,youtube_url,podcast_url,newsletter_url,substack_url,github_url,discord_or_community_url,event_url,booking_or_speaker_url,source_urls,data_confidence,verification_status,notes
11,Nathan Schneider,Person,Platform cooperativism / governable spaces,Tier 1,Research,Platform cooperativism and governable spaces,Community governance and exchange,Ask for dialogue/review,Email with precise conceptual overlap,Yes,Ask for critique of Credit Commons as governable exchange space,Respect academic precision; avoid flattening into a simple influencer pitch,https://nathanschneider.info/,https://nathanschneider.info/contact/,n@nathanschneider.info,https://www.linkedin.com/in/ntnsndr/,https://x.com/ntnsndr,https://bsky.app/profile/ntnsndr.bsky.social,https://social.coop/@ntnsndr,https://www.instagram.com/ntnsndr/,,,,,https://nathanschneider.info/contact/,,,,,,https://nathanschneider.info/contact/,High,Verified public routes listed; re-check before outreach,Excellent trust/governance bridge
12,Platform Cooperativism Consortium,Org,Platform cooperativism,Tier 1,Research,Co-op digital economy hub.,,Webinar or reading group.,Institutional contact or webinar proposal,,Pitch exchange architecture for cooperative platforms,,https://platform.coop/,https://platform.coop/contact/,,https://www.linkedin.com/company/platform-cooperativism-consortium/,https://x.com/platformcoop,,,,,,,,https://platform.coop/,,,,,,https://platform.coop/about/pcc/,High,Verified public routes listed; re-check before outreach,
13,Trebor Scholz,Person,Platform cooperativism,Tier 1,Research,Platform co-op co-founder/theorist.,,Endorsement or salon.,Through PCC or academic/institutional route,Yes,Ask for platform-coop relevance check,,https://platform.coop/,https://platform.coop/contact/,,https://www.linkedin.com/in/treborscholz/,https://x.com/trebors,,,,,,,,,,,,,,https://platform.coop/about/pcc/,Medium,Verified public routes listed; re-check before outreach,
14,Li Jin,Person,Creator economy / category creation,Tier 2,Research,Passion economy category creator,Creator economy missing exchange layer,Ask for feedback on category,Newsletter/category note or warm creator-economy intro,Yes,Send category memo: creator economy's missing exchange layer,Need sharp investor/category framing,https://atelier.ventures/,https://atelier.ventures/,,https://www.linkedin.com/in/lijin18/,https://x.com/ljin18,,,,,,,,https://li.substack.com/,https://li.substack.com/,,,,,https://linktr.ee/LIJIN | https://atelier.ventures/,Medium,Verified public routes listed; re-check before outreach,Category-minded
15,Jay Clouse / Creator Science,Podcast/person,Creator operators,Tier 1,Research,Creator operators and audience trust.,,Podcast or newsletter excerpt.,Creator Science contact/newsletter route,,Pitch 'community businesses need trust-mediated exchange' as a creator operator idea,,https://creatorscience.com/,https://creatorscience.com/contact/,,https://www.linkedin.com/in/jayclouse/,https://x.com/jayclouse,,,https://www.instagram.com/jayclouse/,,,https://www.youtube.com/@CreatorScienceYT,https://creatorscience.com/podcast,https://creatorscience.kit.com/,,,,,,https://creatorscience.kit.com/ | https://www.linkedin.com/in/jayclouse,High,Verified public routes listed; re-check before outreach,
16,Colin and Samir,Podcast/channel,Creator economy mainstream,Tier 1,Research,Creator economy translators,Audience ownership and value-flow ownership,Ask for creator economy interview angle,Creator-economy show/newsletter route after a creator-specific hook is polished,Yes,Pitch audience ownership -> value-flow ownership,Needs creator-specific language,https://www.colinandsamir.com/,https://www.colinandsamir.com/contact,,https://www.linkedin.com/company/colin-and-samir,https://x.com/ColinandSamir,,,https://www.instagram.com/colinandsamir/,,,https://www.youtube.com/@ColinandSamir,,https://www.colinandsamir.com/,,,,,,https://www.colinandsamir.com/ | https://www.linkedin.com/company/colin-and-samir,Medium-high,Verified public routes listed; re-check before outreach,Strong universe bridge
17,Greg Isenberg,Person/podcast,Community businesses / AI startups,Tier 2,Research,Community businesses and AI startups,Community without exchange is fragile,Ask for reaction to meme/framework,Short builder memo or social response to community-business thread,Yes,Test the meme 'community without exchange is fragile',Can skew tactical/startup,https://www.gregisenberg.com/,https://www.gregisenberg.com/,,https://www.linkedin.com/in/gisenberg/,https://x.com/gregisenberg,,,https://www.instagram.com/gregisenberg/,,,https://www.youtube.com/@gregisenberg,,https://www.gregisenberg.com/,,,,,,https://www.getfused.io/creators/greg-isenberg | https://www.gregisenberg.com/,Medium,Verified public routes listed; re-check before outreach,Good for velocity
18,Vitalik Buterin,Person,Public goods / mechanism design,Tier 1,Warm Path Needed,Public goods and mechanism design,Redeemable claims beyond token speculation,Ask for conceptual comment if routed,Warm path only through public-goods/mechanism-design network,Yes,Do not cold pitch; build credibility through Greenpill/Funding the Commons first,Extremely high-noise target; only route a precise conceptual note through trusted intermediary,https://vitalik.eth.limo/,https://vitalik.eth.limo/,,,https://x.com/VitalikButerin,,,,,,,,,,https://github.com/vbuterin,,,,https://vitalik.eth.limo/,Medium-high,Verified public routes listed; re-check before outreach,High leverage but sensitive
19,Bankless,Podcast/channel,Crypto media / Ethereum,Tier 1,Research,Crypto-native but public-goods aware.,,"""Bankless without speculation"" episode.",Warm public-goods route or guest pitch after ReFi validation,Yes,,No speculation frame; use public goods and reciprocal credit,https://www.bankless.com/,https://www.bankless.com/contact,,,https://x.com/BanklessHQ,,,,,,https://www.youtube.com/@Bankless,https://www.bankless.com/podcast,https://www.bankless.com/,,,,,,https://www.bankless.com/,Medium,Verified public routes listed; re-check before outreach,
20,Ethereum Foundation public goods orbit,Org,Public goods / Ethereum,Tier 1,Research,Public goods and Web3 governance.,,Reading group / essay.,Warm route via Gitcoin/Funding the Commons/Owocki,Yes,,,https://ethereum.foundation/,https://ethereum.foundation/contact,,,https://x.com/ethereumfndn,,,,,,,,,,https://github.com/ethereum,,,,https://ethereum.foundation/,Medium,Verified public routes listed; re-check before outreach,
21,Glen Weyl / Plurality Institute,Person/org,Plurality / coordination,Tier 1,Research,Coordination and plurality category.,,Concept exchange.,Concept note via Plurality/coordination network,Yes,Connect trust-mediated exchange to plurality and public goods,,https://www.plurality.institute/,https://www.plurality.institute/,,,https://x.com/glenweyl,,,,,,,,,,,,,,https://www.plurality.institute/,Medium,Verified public routes listed; re-check before outreach,
22,Primavera De Filippi,Person,Blockchain governance / commons,Tier 1,Research,Blockchain governance and commons.,,Academic/commons review.,Academic/commons route,Yes,,,https://primaveradefilippi.net/,https://primaveradefilippi.net/,,https://www.linkedin.com/in/primaveradefilippi/,https://x.com/yaoeo,,,,,,,,,,,,,,https://primaveradefilippi.net/,Medium,Verified public routes listed; re-check before outreach,
23,Audrey Tang,Person,Digital democracy / civic trust,Tier 1,Research,Digital democracy and civic trust.,,Thought-leader mention.,Warm civic-tech route only,Yes,,,https://audrey.tang.social/,https://audrey.tang.social/,,,https://x.com/audreyt,,,,,,,,,,https://github.com/audreyt,,,,https://audrey.tang.social/,Medium,Verified public routes listed; re-check before outreach,
24,Project Liberty,Org,Digital identity / social web,Tier 1,Research,People-centered digital future and DSNP/decentralized social networking effort,,Essay/panel.,Institutional contact or event route,,,,https://www.projectliberty.io/,https://www.projectliberty.io/contact,,https://www.linkedin.com/company/projectliberty/,https://x.com/projliberty,,,,,,,,,,,,,,https://www.projectliberty.io/about/ | https://www.mccourt.com/project-liberty/,High,Verified public routes listed; re-check before outreach,Useful for modern trust framing
25,Decentralized Identity Foundation,Org,Digital identity standards,Tier 1,Research,Members develop standards and open-source components for interoperable decentralized identity,,Concept note.,Working-group/join route; likely source of warm-path mapping,Yes,,,https://identity.foundation/,https://identity.foundation/join/,,https://www.linkedin.com/company/decentralized-identity-foundation/,https://x.com/DecentralizedID,,,,,,,,,,https://github.com/decentralized-identity,,,,https://identity.foundation/join/,Medium-high,Verified public routes listed; re-check before outreach,Bridge to AI/digital trust angle
26,Content Authenticity Initiative,Org,Content provenance / trust,Tier 2,Research,Cross-industry community for content provenance and authenticity using C2PA standards,,"""Exchange provenance"" bridge.",Institutional/provenance essay route,,,,https://contentauthenticity.org/,https://contentauthenticity.org/contact,,https://www.linkedin.com/company/content-authenticity-initiative/,https://x.com/contentauth,,,,,,,,,,,,,,https://contentauthenticity.org/our-members | https://community.contentauthenticity.org/,Medium-high,Verified public routes listed; re-check before outreach,"Bridge audience, not core audience"
27,Ink & Switch,Org,Local-first software,Tier 2,Research,Local-first thought leadership.,,Research note.,Research-note route,,Frame local-first exchange as the economic counterpart to local-first data,,https://www.inkandswitch.com/,https://www.inkandswitch.com/contact/,,,https://x.com/inkandswitch,,,,,,,,https://www.inkandswitch.com/,,https://github.com/inkandswitch,,,,https://www.inkandswitch.com/essay/local-first/,High,Verified public routes listed; re-check before outreach,
28,Martin Kleppmann,Person,Local-first / distributed systems,Tier 2,Research,Local-first/distributed systems.,,Technical review.,Technical-review route only after local-first exchange note is precise,,,,https://martin.kleppmann.com/,https://martin.kleppmann.com/,,,https://x.com/martinkl,,,,,,,,,,https://github.com/ept,,,,https://martin.kleppmann.com/,Medium,Verified public routes listed; re-check before outreach,
29,Local-First Conf,Event,Local-first event,Tier 2,Research,Local-first builder network.,,Talk proposal.,Talk proposal/session route,,,,https://www.localfirstconf.com/,https://www.localfirstconf.com/,,,,,,,,,,,,,,,https://www.localfirstconf.com/,,https://www.localfirstconf.com/local-first-conf-2025,High,Verified public routes listed; re-check before outreach,
30,Maggie Appleton,Person,Visual systems / local-first / AI,Tier 2,Research,Visual/AI/local-first translator.,,Visual essay collaboration.,Visual essay collaboration only after framework has visual map,,,,https://maggieappleton.com/,https://maggieappleton.com/,,,https://x.com/Mappletons,,,,,,,,https://maggieappleton.com/,,https://github.com/MaggieAppleton,,,,https://maggieappleton.com/,Medium,Verified public routes listed; re-check before outreach,
31,DXOS,Org,Local-first software,Tier 2,Research,Local-first collaborative software.,,Builder dialogue.,Builder dialogue,,,,https://www.dxos.org/,https://www.dxos.org/,,,https://x.com/dxos_org,,,,,,,,,,https://github.com/dxos,,,,https://www.dxos.org/,Medium,Verified public routes listed; re-check before outreach,
32,Radicle,Org,Sovereign developer collaboration,Tier 2,Research,Sovereign developer collaboration.,,Essay on open-source exchange.,Open-source sovereignty essay route,,,,https://radicle.xyz/,https://radicle.xyz/,,,https://x.com/radicle,,,,,,,,,,https://github.com/radicle-dev,,,,https://radicle.xyz/,Medium,Verified public routes listed; re-check before outreach,
33,Open Source Pledge,Org,Open-source funding,Tier 2,Research,Maintainer funding.,,Contribution/obligation essay.,Maintainer-funding essay route,,,,https://opensourcepledge.com/,https://opensourcepledge.com/,,https://www.linkedin.com/company/open-source-pledge/,https://x.com/osspledge,,,,,,,,,,https://github.com/opensourcepledge,,,,https://opensourcepledge.com/,High,Verified public routes listed; re-check before outreach,
34,Sentry / Open Source Pledge founders,Org,Open-source funding,Tier 2,Research,Mainstreaming paid maintainers.,,Intro to maintainer economy.,"Through Open Source Pledge, not generic Sentry contact",,,,https://sentry.io/,https://sentry.io/contact/,,https://www.linkedin.com/company/sentry/,https://x.com/getsentry,,,,,,,,,,https://github.com/getsentry,,,,https://opensourcepledge.com/ | https://sentry.io/,Medium,Verified public routes listed; re-check before outreach,
35,GitHub open source programs,Org,Open-source platform,Tier 2,Research,Maintainer reach.,,Maintainer sustainability conversation.,Use as distribution/context source; direct outreach later,,,,https://github.com/open-source,https://support.github.com/,,https://www.linkedin.com/company/github/,https://x.com/github,,,,,,,,,,https://github.com/github,,,,https://github.com/open-source,High,Verified public routes listed; re-check before outreach,
36,Tidelift,Org,Open-source sustainability,Tier 2,Research,Paid maintainer / OSS sustainability.,,Open-source value-flow article.,Maintainer economy / obligation framing,,,,https://tidelift.com/,https://tidelift.com/contact,,https://www.linkedin.com/company/tidelift/,https://x.com/tidelift,,,,,,,,,,,,,,https://tidelift.com/,High,Verified public routes listed; re-check before outreach,
37,Sovereign Tech Agency,Org,Public digital infrastructure,Tier 2,Research,Public digital infrastructure funding.,,Policy/public infrastructure angle.,Policy/public digital infrastructure route,,,,https://www.sovereign.tech/,https://www.sovereign.tech/contact,,https://www.linkedin.com/company/sovereigntechagency/,https://x.com/sovtechfund,,,,,,,,,,,,,,https://www.sovereign.tech/,Medium-high,Verified public routes listed; re-check before outreach,
38,NLnet Foundation,Org,Open internet funding,Tier 2,Research,Open internet funding.,,Project note.,Open-internet funding essay/source route,,,,https://nlnet.nl/,https://nlnet.nl/contact/,,,https://x.com/NLnetFDN,,,,,,,,,,,,,,https://nlnet.nl/,High,Verified public routes listed; re-check before outreach,
39,Open Source Initiative,Org,Open-source advocacy,Tier 2,Research,Maintainer advocacy.,,Essay or webinar.,Webinar/article route,,,,https://opensource.org/,https://opensource.org/contact,,https://www.linkedin.com/company/open-source-initiative/,https://x.com/OpenSourceOrg,,,,,,,,,,,,,,https://opensource.org/,High,Verified public routes listed; re-check before outreach,
40,Our Changing Climate,Channel,Climate media / youth,Tier 2,Research,Climate/economics youth audience.,,Video essay angle.,Video essay route after climate-resilience exchange pitch is tight,,,,https://www.ourchangingclimate.com/,https://www.ourchangingclimate.com/contact,,,,,,https://www.instagram.com/ourchangingclimate/,,,https://www.youtube.com/@OurChangingClimate,,,,,,,,https://www.ourchangingclimate.com/,Medium,Verified public routes listed; re-check before outreach,
41,Not Just Bikes,Channel,Urbanism / local systems,Tier 2,Research,Urbanist systems audience.,,Local infrastructure analogy.,Do not first wave; develop local-infrastructure analogy,,,,https://www.notjustbikes.com/,https://www.notjustbikes.com/contact,,,https://x.com/notjustbikes,,,,,,https://www.youtube.com/@NotJustBikes,,,,,,,,https://www.notjustbikes.com/,Medium,Verified public routes listed; re-check before outreach,
42,Strong Towns,Org/media,Local resilience / municipal finance,Tier 2,Research,Local finance/resilience.,,Article/interview.,Article/podcast pitch,,,,https://www.strongtowns.org/,https://www.strongtowns.org/contact,,https://www.linkedin.com/company/strong-towns/,https://x.com/StrongTowns,,,,,,,https://www.strongtowns.org/podcast,https://www.strongtowns.org/,,,,,,https://www.strongtowns.org/,High,Verified public routes listed; re-check before outreach,
43,Shareable,Media/org,Solidarity economy / sharing,Tier 2,Research,"Media and toolkits for sharing projects, solidarity economy, and people-powered community systems",,Excerpt.,Excerpt/article route,,,,https://www.shareable.net/,https://www.shareable.net/contact/,,https://www.linkedin.com/company/shareable/,https://x.com/shareable,,,,,,,,https://www.shareable.net/participate/,,,,,,https://www.shareable.net/participate/,High,Verified public routes listed; re-check before outreach,Good story-based audience
44,Institute for Local Self-Reliance,Org/media,Localism / cooperative economics,Tier 2,Research,National research and advocacy organization focused on local power and accountable local economies,,Podcast/newsletter.,Podcast/newsletter route,,,,https://ilsr.org/,https://ilsr.org/contact/,,https://www.linkedin.com/company/institute-for-local-self-reliance/,https://x.com/ilsr,,,,,,https://ilsr.org/podcasts/,https://ilsr.org/podcasts/,https://ilsr.org/,,,,,,https://ilsr.org/ | https://ilsr.org/podcasts/,High,Verified public routes listed; re-check before outreach,Strong non-niche bridge
45,Post Carbon Institute,Org/media,Post-growth / energy resilience,Tier 2,Research,Resilience and energy-transition nonprofit with daily article site and podcasts,,Resilience.org essay.,Resilience essay/podcast route,,,,https://www.postcarbon.org/,https://www.postcarbon.org/contact/,,https://www.linkedin.com/company/post-carbon-institute/,https://x.com/postcarbon,,,,,,https://www.resilience.org/podcasts/,https://www.resilience.org/podcasts/,https://www.postcarbon.org/,,,,,,https://www.postcarbon.org/ | https://www.resilience.org/podcasts/,High,Verified public routes listed; re-check before outreach,Strong bridge beyond monetary reform
46,Resilience.org,Media,Post-growth / resilience media,Tier 2,Research,"Article and podcast platform for resilience, climate, overshoot, economy, and community response",,Chapter excerpt.,Book excerpt or article pitch,,,,https://www.resilience.org/,https://www.resilience.org/contact/,,,https://x.com/resilienceorg,,,,,,https://www.resilience.org/podcasts/,https://www.resilience.org/podcasts/,https://www.resilience.org/,,,,,,https://www.resilience.org/podcasts/ | https://www.resilience.org/,High,Verified public routes listed; re-check before outreach,Likely travel channel for a sophisticated excerpt
47,Tim Morgan,Person,Energy economics / post-growth,Tier 1,Research,Energy economics and money as claim,Chapter 21 real-value claims,Ask for review/commentary on claims and energy framing,Blog comment/contact route if no better email exists; warm intro preferred,,Prepare overlap brief on money as claim and real productive capacity,May resist category language; lead with analytical compatibility,https://surplusenergyeconomics.wordpress.com/,https://surplusenergyeconomics.wordpress.com/,,,,,,,,,,,,,,,,,https://surplusenergyeconomics.wordpress.com/,Medium,Verified public routes listed; re-check before outreach,Good analytical review target | Good reviewer for money-as-claim argument
48,Schumacher Center,Org,Local currencies / new economics,Tier 2,Research,Historical and local currency lineage.,,Webinar.,Relationship-first institutional note,,,,https://centerforneweconomics.org/,https://centerforneweconomics.org/contact/,,https://www.linkedin.com/company/schumacher-center-for-a-new-economics/,https://x.com/center4newecon,,,,,,https://www.youtube.com/@SchumacherCenter,,https://centerforneweconomics.org/share/,,,,,,https://centerforneweconomics.org/apply/local-currencies-program/,High,Verified public routes listed; re-check before outreach,
49,BerkShares,Org,Local currencies,Tier 2,Research,Recognizable US local currency example and practical channel,,Event.,Through Schumacher/BerkShares continuity path,,,,https://berkshares.org/,https://berkshares.org/contact/,,,,,,,,,,,,,,,,,https://centerforneweconomics.org/apply/local-currencies-program/ | https://berkshares.org/,Medium-high,Verified public routes listed; re-check before outreach,Use with Schumacher Center rather than standalone first contact
50,Credit Commons Society,Org,Mutual credit / commons,Tier 1,Research,Mutual credit implementation bridge,Credit Commons and trust-mediated exchange,Ask for review of framework,Technical/practitioner review request,,Prepare technical-practitioner note,Need accuracy on protocol details,https://creditcommonssociety.org/,https://creditcommonssociety.org/contact/,,,,,,,,,,,,,,,,,https://creditcommonssociety.org/ | https://creditcommonssociety.org/mutual-credit/,High,Verified public routes listed; re-check before outreach,High-confidence Chapter 21 review target | High fit
51,Mutual Credit Services,Org,Mutual credit implementation,Tier 2,Research,"Provides open-source software, training, and support for mutual credit implementation",,Webinar.,Practitioner webinar/dialogue route,,,,https://www.mutualcredit.services/,https://www.mutualcredit.services/about,,,,,,,,,,,,,,,,,https://www.mutualcredit.services/ | https://www.mutualcredit.services/about,High,Verified public routes listed; re-check before outreach,Good fit for practical credibility
52,IRTA,Org,Reciprocal trade / barter industry,Tier 2,Research,Barter/reciprocal trade industry.,,Industry review.,Industry/practitioner review,,,,https://irta.com/,https://irta.com/contact/,,https://www.linkedin.com/company/international-reciprocal-trade-association/,https://x.com/irtaofficial,,,,,,,,,,,,,,https://irta.com/,Medium-high,Verified public routes listed; re-check before outreach,
53,Grassroots Economics,Org,Community currencies / CAVs,Tier 2,Research,"Develops community asset vouchers and economic commons in Kenya; reports 50,000+ registered users in earlier CIC growth milestone",,Case-study dialogue.,Case-study dialogue,,,,https://grassrootseconomics.org/,https://grassrootseconomics.org/contact/,,https://www.linkedin.com/company/grassroots-economics/,https://x.com/GrassrootsEcon,,,,,,,,,,https://github.com/GrassrootsEconomics,,,,https://grassrootseconomics.org/about/,High,Verified public routes listed; re-check before outreach,Use as proof point more than primary sales channel
54,Community Exchange System,Org,LETS / local exchange,Tier 2,Research,Global internet-based trading network for non-national-currency exchange; useful practitioner proof point,,Practitioner circulation.,Practitioner circulation after verification,,,,https://www.community-exchange.org/,https://www.community-exchange.org/,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Community_Exchange_System | https://www.community-exchange.org/,Medium,Verified public routes listed; re-check before outreach,Needs current official verification before publisher use
55,P2P Foundation,Org,Commons / peer production,Tier 2,Research,Commons and peer-production knowledge network founded around Michel Bauwens's work,,Repost/review.,Repost/review through commons framing,,,,https://p2pfoundation.net/,https://p2pfoundation.net/contact/,,https://www.linkedin.com/company/p2p-foundation/,https://x.com/P2P_Foundation,,,,,,,,,,,,,,https://p2pfoundation.net/home-page/the-p2p-foundations-web-ecosystem | https://p2pfoundation.net/the-p2p-foundation/who-we-are,High,Verified public routes listed; re-check before outreach,Strong intellectual-network fit
56,Michel Bauwens,Person,Commons / P2P,Tier 1,Research,Commons and peer production,Trust-mediated exchange and commons governance,Ask for review or dialogue,Commons-focused note or warm P2P route,,Prepare commons-focused note,Do not flatten Greco into P2P,https://p2pfoundation.net/,https://p2pfoundation.net/contact/,,,https://x.com/mbauwens,,,,,,,,,,,,,,https://p2pfoundation.net/the-p2p-foundation/who-we-are,Medium-high,Verified public routes listed; re-check before outreach,Priority for intellectual legitimacy | Strong bridge to P2P Foundation
57,Commons Strategies Group,Org,Commons governance,Tier 2,Research,Commons governance.,,Salon.,Salon/dialogue route,,,,https://commonsstrategies.org/,https://commonsstrategies.org/contact/,,,,,,,,,,,,,,,,,https://commonsstrategies.org/,Medium,Verified public routes listed; re-check before outreach,
58,New Economics Foundation,Org,New economics policy,Tier 2,Research,Policy and economics organization relevant to systemic economic alternatives,,Policy review.,Policy review/excerpt route,,,,https://neweconomics.org/,https://neweconomics.org/contact,,https://www.linkedin.com/company/new-economics-foundation/,https://x.com/NEF,,,,,,,,,,,,,,https://neweconomics.org/,High,Verified public routes listed; re-check before outreach,Useful but not researched deeply in this pass
59,Ethical Markets,Org,Sustainable finance / Hazel Henderson continuity,Tier 2,Research,Hazel Henderson's ecosystem; historical endorsement relevance to Greco,,Review/archive.,Review/archive route,,,,https://www.ethicalmarkets.com/,https://www.ethicalmarkets.com/contact/,,,https://x.com/EthicalMarkets,,,,,,,,,,,,,,https://beyondmoney.net/the-end-of-money-and-the-future-of-civilization/ | https://www.ethicalmarkets.com/,High,Verified public routes listed; re-check before outreach,Good continuity target
